Language,Stream time(minutes),Peak viewers,Average viewers,Followers
Chinese,150564.0,13104.366666666667,3424.8,201714.53333333333
English,124482.34020618557,41639.71958762887,5112.81443298969,705685.6453608248
French,131811.5909090909,33865.40909090909,3506.530303030303,439734.5606060606
German,116363.26530612246,31274.73469387755,4278.183673469388,479367.5714285714
Italian,123131.4705882353,17425.117647058825,2205.529411764706,328961.8823529412
Korean,119885.25974025975,18633.03896103896,3913.883116883117,262173.87012987013
Portuguese,158496.88524590165,38463.475409836065,3800.934426229508,555868.262295082
Russian,91293.64864864865,44290.01351351351,6594.22972972973,339730.4864864865
Spanish,72732.35294117648,53186.98529411765,6449.691176470588,779686.1176470588
Turkish,71330.45454545454,29991.545454545456,4760.863636363636,718936.0
