,Platform,Year,Min,First,Median,Third,Max
0,Wii,2006,0.02,0.08,0.255,0.5900000000000001,82.74
1,PS3,2006,0.01,0.15,0.39,0.97,4.35
2,X360,2006,0.01,0.11,0.24,0.49,6.11
3,Wii,2007,0.01,0.065,0.23,0.625,22.72
4,PS3,2007,0.02,0.16,0.42,1.0550000000000002,6.72
5,X360,2007,0.01,0.15,0.32,0.69,12.14
6,Wii,2008,0.01,0.1,0.215,0.55,35.82
7,PS3,2008,0.01,0.17,0.45,1.07,10.57
8,X360,2008,0.01,0.18,0.46499999999999997,1.0075,11.02
9,Wii,2009,0.01,0.09,0.2,0.45,33.0
10,PS3,2009,0.01,0.16,0.345,0.8474999999999999,10.69
11,X360,2009,0.01,0.12,0.25,0.65,13.51
12,Wii,2010,0.01,0.08,0.2,0.46,9.52
13,PS3,2010,0.02,0.15,0.35,0.75,12.73
14,X360,2010,0.01,0.12,0.28500000000000003,0.8674999999999999,21.82
15,Wii,2011,0.01,0.09,0.18,0.36,10.26
16,PS3,2011,0.01,0.11,0.24,0.7475,13.46
17,X360,2011,0.01,0.08,0.225,0.615,14.76
18,Wii,2012,0.01,0.0775,0.185,0.6900000000000001,6.91
19,PS3,2012,0.01,0.08,0.32,0.8625,14.03
20,X360,2012,0.01,0.17,0.44,0.9125000000000001,13.73
21,Wii,2013,0.02,0.08750000000000001,0.22000000000000003,0.755,3.76
22,PS3,2013,0.01,0.09,0.3,0.9299999999999999,21.4
23,X360,2013,0.01,0.14,0.46,1.1,16.38
24,Wii,2014,0.02,0.1125,0.515,0.9775,2.28
25,PS3,2014,0.01,0.0775,0.16,0.5175000000000001,5.42
26,X360,2014,0.01,0.09,0.26,0.7825,4.31
27,Wii,2015,0.03,0.0525,0.16,0.495,1.2
28,PS3,2015,0.01,0.03,0.065,0.3725,2.85
29,X360,2015,0.01,0.0375,0.11,0.4175,1.76
